@@,itemlabel,item,startdate,enddate
+++,Charles Noble Arden-Clarke,Q326531,1957,1958
+++,Stephen Allen Dzirasa,Q69438959,1958,1959
+++,Kwame Nkrumah,Q8620,1959,1960
+++,Charles de Graft Dickson,Q67882160,1960,1961
->,Kofi Baako,Q5960304,1961-09-01->1961-09,1966-02-01->1966-02-24
+++,Lt. General J. A. Ankrah,Q356728,1966,1968
+++,Lt. General Akwasi Afrifa,Q424377,1968,1969
+++,J. Kwesi Lamptey,Q58173953,1969,1971
+++,Bukari K. Adama,Q59640191,1971-01-27,1972-01-12
+++,General I. K. Acheampong,Q472593,1972-01,1975-10-09
+++,General I. K. Acheampong,Q472593,1975-10-09,1978-07-05
+++,Lt. General Fred Akuffo,Q718234,1978-07-05,1979-06-04
+++,Riley K. S. Poku,,1979,1981-12-31
+++,Naa Polku Konkuu Chirii,,1982,1983-11
+++,Rear Admiral C. K. Dzang,Q16018419,1983-11-22,1985
+++,Mahama Iddrisu,Q17411276,1985,1993-01-06
+++,Mahama Iddrisu,Q17411276,1993-01-07,1999-02
+++,E. K. T. Donkoh,Q105547621,1999-02,2001-01-06
+++,Kwame Addo-Kufuor,Q1794901,2001-01-07,2007-08-06
+++,Albert Kan-Dapaah,Q2638264,2007-08-06,2009-01-06
+++,Lt. Gen. Joseph Henry Smith,Q6283947,2009-01-06,2013-02-18
+++,Lt. Gen. Joseph Henry Smith,Q6283947,2012-07-24,2013-02-18
+++,Mark Owen Woyongo,Q6770431,2013-02-14,2014-07-16
+++,Benjamin Kumbuor,Q4888931,2014-07-16,2017-02
+++,Dominic Nitiwul,Q30323575,2017-02,
